"NombreEvento";"Teatro";"UrlEvento"
"Leyendas De Rock";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed633-6bbd-717c-b9e1-b6ed22b37ca7"
"Live Music con Miriam Dues";"Espacio Broadway";"https://www.abonoteatro.com/evento/019f1901-6159-71c2-89a8-09bdcc3c7953"
"Lo Mejor De Yllana";"Gran Teatro Pavón";"https://www.abonoteatro.com/evento/019ed55f-2625-72c5-ab1b-d876c0608c51"
"LORCA EN LA HABANA";"Teatro De Las Aguas";"https://www.abonoteatro.com/evento/019edb36-e12b-719b-a658-4833e0ebd1ff"
"LUDOVICO EXPERIENCE";"Teatros Luchana";"https://www.abonoteatro.com/evento/019f8f82-c0c8-7368-bf2d-8bf73ef905ce"
"Maestrissimo - Yllana";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019ed536-acbe-72a9-9f7b-359d236e101e"
"Magia Vs Ciencia";"Teatro Escondido Gran Vía";"https://www.abonoteatro.com/evento/019ed596-671c-70c6-ad9d-f02edabe0077"
"MAGIC, Tributo a Disney";"Espacio Broadway";"https://www.abonoteatro.com/evento/019fd69f-42ec-7283-89be-cdaa41ae9f3d"
"Making Comedy Show";"Teatro Arlequín Gran Vía";"https://www.abonoteatro.com/evento/019ed54b-f6e3-7109-b207-8b8893a91820"
"Mamás";"Off Latina";"https://www.abonoteatro.com/evento/019ed587-4078-7047-9723-df01bd1c8351"
"MAMMA MIA: Tributo a ABBA";"Yasta Club";"https://www.abonoteatro.com/evento/019f9453-5177-7200-a0d2-1c0050f85ac6"
"Mamma Mía! Qué Tributo - ABBA";"Espacio Alma";"https://www.abonoteatro.com/evento/019fc7e5-c7bc-72c9-a59f-1a3f27e2fb62"
"MERCERÍA PALOMA";"Teatro De Las Aguas";"https://www.abonoteatro.com/evento/019eee80-c686-71dd-8d04-235d128ae56a"
"NO DISPARES QUE TE CUENTO";"Off Latina";"https://www.abonoteatro.com/evento/019fa801-c73c-7032-8cd2-b42754226b98"
"NO HAY BURLAS CON EL AMOR";"Corral Comedias Almagro (Ciudad Real)";"https://www.abonoteatro.com/evento/019fd182-321c-7109-b146-3229a1beb43d"
"Noche De Coños";"Espacio Broadway";"https://www.abonoteatro.com/evento/019ed5e0-78d4-72e2-b141-35c3029f1269"
"NOCHE DE KARAOKE";"Espacio Broadway";"https://www.abonoteatro.com/evento/019f19e2-cd46-709e-9048-4899eaa3d9b4"
"NOCHE DE TRIBUTOS: RECUERDOS LOCOS Y LA LOCURA DEL ZURDO";"Castillo Del Condestable Dávalos";"https://www.abonoteatro.com/evento/019f220a-7f53-73a6-be97-014875d95eb3"
"Nomina-Dos";"La Butaca Amarilla";"https://www.abonoteatro.com/evento/019f18f7-6626-7071-861f-0868ccef2090"
"OVEJAS NEGRAS";"La Butaca Amarilla";"https://www.abonoteatro.com/evento/019f18fa-7aca-7063-90e3-b2a593e96767"
"Pablo Navarro & The Brass Band";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019ed537-8621-715d-b9aa-c5d8ea31e0f4"
"Pagagnini - Yllana";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019ed538-476f-70d3-8732-257a9f43dca9"
"PEGADOS - UN MUSICAL DIFERENTE";"Gran Teatro Pavón";"https://www.abonoteatro.com/evento/019f89be-f246-7320-80f0-1d6a65fa2f50"
"Perdón Por Existir";"Teatro De Las Aguas";"https://www.abonoteatro.com/evento/019ed4eb-017f-701c-a02e-c5ced42feaf3"
"Piensa En Wilbur";"Teatro Serrano";"https://www.abonoteatro.com/evento/019ed526-24ff-73cc-bdd1-5e823cc0b1e5"
"Puzzle: El Show Que Te Hará Cuestionarte La Realidad";"Axel Hotel Madrid";"https://www.abonoteatro.com/evento/019f1825-3fde-71d3-8df2-3d1e3b881241"
"Regreso A Los 90";"Gtm - Espacio La Vaguada";"https://www.abonoteatro.com/evento/019edeec-b2fc-7214-8140-d24cb1741aaf"
"ROCK & POP 80s/90s (éxitos en español)";"Teatros Luchana";"https://www.abonoteatro.com/evento/019f8f78-5b91-73f1-99d4-fb8e39713384"
"ROCK & POP 80s/90s (éxitos internacionales)";"Teatros Luchana";"https://www.abonoteatro.com/evento/019f9397-58cc-7334-9616-fd148f371216"
"Romance - Homenaje A Luis Miguel";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed600-40da-7369-a8fa-afbdd49717c1"
"RUMBA LAS VEGAS OLEO COVERS";"Teatro Las Vegas";"https://www.abonoteatro.com/evento/019fa3f1-f681-717d-bd8a-b240517285bc"
"Salsa & Bachata";"Teatro Marquina";"https://www.abonoteatro.com/evento/019ed623-3a9c-7121-8553-762ec373ba15"
"Semen";"Teatro Arlequín Gran Vía";"https://www.abonoteatro.com/evento/019ed548-ce9a-73ed-93d1-c818b7c74a5b"
"Servicio De Habitaciones";"Axel Hotel Madrid";"https://www.abonoteatro.com/evento/019ed5a6-7ed3-733d-8e89-7e0def0b13b7"
"Solteronas";"Espacio Gran Vía";"https://www.abonoteatro.com/evento/019ed587-b113-71d3-90f0-eee440e74d38"
"Soul Castizo";"Sala Galileo Galilei";"https://www.abonoteatro.com/evento/019ed582-7111-7007-99dd-84c9149cebf3"
"Swing Machine Orchestra";"Sala Galileo Galilei";"https://www.abonoteatro.com/evento/019f6071-d2e0-7236-80fb-009ee9b5123f"
"Tablao Flamenco - Vallekas Flamenka";"Taberna Flamenca El Cortijo";"https://www.abonoteatro.com/evento/019ed5c0-3e61-73af-95c6-016cce0ee551"
"Tania Ruzs - Voces Que Transforman";"Off Latina";"https://www.abonoteatro.com/evento/019ed509-0c29-724f-bf19-3055e519a643"
"TANTRA EN CARABANCHEL";"Teatro Arlequín Gran Vía";"https://www.abonoteatro.com/evento/019f852e-8811-72d4-99c3-0a2626a588f2"
"THE GOLDEN DISCO";"Teatro Las Vegas";"https://www.abonoteatro.com/evento/019fa3f4-ade5-73ab-a59a-93f82f478f57"
"The Jazz On Five";"Sala Galileo Galilei";"https://www.abonoteatro.com/evento/019ed604-e880-7199-904f-876f1ed6a960"
"The Opera Locos - Yllana";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019ed535-5fde-7396-8232-6639dfcbcc34"
"THE ROYAL GAG ORCHESTRA – YLLANA";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019f6f71-4f30-73c5-aad5-8fa8cb162792"
"TIERRA SALVAJE";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019f8a33-353a-71e0-a351-53c218f657df"
"TOC";"Espacio Broadway";"https://www.abonoteatro.com/evento/019fd69d-0659-7004-87ff-8079ea8ca4fb"
"Trash! De Yllana Y Töthem";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019ed40b-e3c0-7009-b196-66fc2a1a4910"
"Tributo Salsa y Bachata";"Espacio Alma";"https://www.abonoteatro.com/evento/019fc7ee-70b9-7036-afa2-08dc54cf7f46"
"Una Noche Con Federico";"Teatro De Las Aguas";"https://www.abonoteatro.com/evento/019ed4f0-a6d8-71c9-904a-8e7d11e5cadd"
"UNA NOTA EN MADRID";"Espacio Broadway";"https://www.abonoteatro.com/evento/019f1904-301d-7130-a901-e8c888d3ddad"
"Vespera, Cabaret Erótico";"Axel Hotel Madrid";"https://www.abonoteatro.com/evento/019ed5fa-b8bc-73dc-b61a-bb8331be5415"
"Viernes";"Espacio Alma";"https://www.abonoteatro.com/evento/019f933a-0e5c-72ff-ac61-417e7e8c80a2"
"VILLANAS";"Teatro Arlequín Gran Vía";"https://www.abonoteatro.com/evento/019f8475-115a-70b0-8607-1c3d6e78bad1"
"Violinísticas";"Teatro Arlequín Gran Vía";"https://www.abonoteatro.com/evento/019ed522-b101-70b0-9b5c-bc6f29452e9e"
"Vogue Live - La escena ballroom de Madrid";"Yasta Club";"https://www.abonoteatro.com/evento/019fd742-7938-7384-945b-c2c7e2e0dca3"
"Voilá";"Teatro Marquina";"https://www.abonoteatro.com/evento/019f1cce-054e-733d-8ebf-34d54c15f478"
"We Will Rock You, El Musical";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019ed510-c3c1-7050-b4df-bb7596adf08c"
"Whitney Houston Hologram Tour";"Gran Teatro Caixabank Príncipe Pío";"https://www.abonoteatro.com/evento/019ed539-5c8b-72f1-bb34-5eb55bc753ac"
