"Titulo","Lugar","Precio","Fecha","Link","Ids","EventId"
"SWINGERS POR COMPROMISO","AXEL HOTEL MADRID","15,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=88672#compradias","System.Object[]","88672"
"FUGAZ, POR JAVIER LUXOR","OFF Latina","12,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=4003#compradias","System.Object[]","4003"
"Pata Negra, Chemi Moreno","La Otra Movida","16,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=39505#compradias","System.Object[]","39505"
"Obsesión","Sala Komodia","12,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=58756#compradias","System.Object[]","58756"
"TAROTADAS","Tropicana Beach Club Madrid","10,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=20416#compradias","System.Object[]","20416"
"AnorMala","OFF Latina","12,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=20339#compradias","System.Object[]","20339"
"EUGE RUIZ, INCOMODA","AXEL HOTEL MADRID","10,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=55918#compradias","System.Object[]","55918"
"VUELVEN LOS 90´S","Yasta Club","12,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=14644#compradias","System.Object[]","14644"
"Raul Navareño","Platea Café Teatro Rivas-Vaciamadrid","14,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=3056#compradias","System.Object[]","3056"
"Las Encantadoras Ilusiones","La Caníbal Fábrica de Cerveza","12,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=41785#compradias","System.Object[]","41785"
"Los Chándals al Sol, en Atocha","Parada 42","16,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=93013#compradias","System.Object[]","93013"
"Adictos a la Comedia en San Sebastián de los Reyes","Monkey Rock","16,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=96057#compradias","System.Object[]","96057"
"Monólogos en San Sebastián de los Reyes","Monkey Rock","16,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=55882#compradias","System.Object[]","55882"
"A MI MANERA","SOJO Laboratorio Teatral","10,99€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=43078#compradias","System.Object[]","43078"
"¡Esto es un monólogo! de Cristina Gómez","La Otra Movida","16,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=15658#compradias","System.Object[]","15658"
"¡IMPOSIBLE! JAVIER LUXOR","OFF Latina","16,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=3992#compradias","System.Object[]","3992"
"LAS TRENZADORAS","SOJO Laboratorio Teatral","10,99€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=49158#compradias","System.Object[]","49158"
"ESTO ES HOLLYWOOD","Espacio Hollywood","15,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=42836#compradias","System.Object[]","42836"
"VACIADA","Teatro Tyl Tyl (Navalcarnero)","15,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=68465#compradias","System.Object[]","68465"
"EL RESCATE","OFF Latina","12,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=58483#compradias","System.Object[]","58483"
"Las ventajas de conocerse","Sala de Teatro Bululú2120","16,00€","System.Object[]","https://compras.abonoteatro.com/?pagename=espectaculo&eventid=80297#compradias","System.Object[]","80297"
